items,calorie
Red bean bun,264
Milky filling bun,265
8 Fried dumplings,270
Submarine sandwich with turkey,275
Cheese bagel,280
Chinese omelet with ham,281
Submarine sandwich with ham,285
Submarine sandwich with turkeyham,290
Chinese omelet with bacon,298
Chinese omelet with cheese,300
Flapjack with Strawberry jam,304
Roasted chocolate toast thick slice,309.4
Purple rice ball,317
Roasted peanut toast thick slice,318
Chinese omelet with pork tenderloin,319
Submarine sandwich with  chicken,320
Submarine sandwich with beef,321
Smoked chicken roll,322
Roasted milky toast thick slice,323.7
Chinese omelet with muffin,324
Chinese omelet with hotdog,329
Roasted butter toast thick slice,333
Sliced chicken with noodles,335
6 Chicken nuggets,350
Wholewheat bun with walnuts,352
Flapjack with Chocolate,369
Black pepper beef sandwich,372
Hotdosgs with vegetables,375
Flapjack with peanut butter,380
Flapjack with milky filling,384
Roasted egg sandwich,386
Flapjack with Butter,389
Chinese omelet with Tuna,392
Pancake with Tuna,394
Flaky pancake,398
10 dumplings,409
High calcium flapjack with ham,421
Pancake with strawberry jam,425
Pancake with cream,430
Pancake with honey,438
High calcium flapjack with cheese,440
Cheesy pork cutlet,445
Italian classic submarine sandwich,450
Submarine sandwich with Tuna,450
Mushroom noodles,453
Pot of pasta,467
Ham and egg sandwich,472
Black pepper noodles,474
Flaky pancake with scallion,479
Pork with noodles in pot,480
High calcium flapjack with hotdog,481
Crispy chicken cutlet,483
Pancake with chocolate,484
Flaky pancake with vegetables,488
Cheese and egg sandwich,494
High calcium flapjack with bacon,500
Kung Pao Chicken noodles,505
Garblic bread,506
Pancake with ice cream,507
High calcium flapjack with muffin,509
Pork tenderloin and egg sandwich,514
Terayaki pork and egg sanwich,519
Flaky pancake with ham and egg,521
Three cups of chicken noodles,529
Hashbrown and egg sandwich,533
Flaky pancake with bacon,538
Flaky pancake with cheese,541
Bacon and egg sandwich,553
Tuna and egg sandwich,554
Crispy chicken roll,560
Flaky pancake with pork tenderloin,561
Flaky pancake with muffin and egg,564
Pancake with peanut butter,565
Black pepper noodles with egg,575
Mushroom noodles with egg,596
Egg muffin with fresh prawns,607
Egg muffin with smoked chicken,612
Sauce and sand tea noodles with egg,617
Crispy chicken and egg sandwich,638
Egg muffin with pork tender loin,656
Egg muffin with Terayaki pork,659
Egg muffin with cuttlefish,661
Egg muffin with Tuna,669
Egg muffin,677
Egg muffin with blue cheese pork,697
Egg muffin with chicken,743
Club burger,745
Egg muffin with crispy chicken,748
Egg muffin with thick beef,797
Pork chop club sandwich,850
Land and Sea club sandwich,881
